name,os,processor,generation,ram,ssd,hdd,display,price
lenovo,windows 11,intel core i5,11,16,512,0,14.0,70900
hp,windows 11,intel core i3,11,8,256,0,15.6,35699
asus,windows 11,intel core i7,12,16,512,0,14.0,84990
hp,windows 11,intel core i7,12,16,1024,0,16.1,128000
dell,windows 11,intel core i3,11,8,512,0,15.6,43500
lenovo,windows 10,intel core i5,11,16,512,0,15.6,58226
dell,windows 11,intel core i7,11,16,512,0,15.6,103490
asus,windows 11,intel core i5,11,8,512,0,13.3,60990
asus,windows 11,intel core i7,12,16,512,0,13.4,150450
lenovo,windows 11,intel core i3,11,8,512,0,15.6,39990
acer,windows 11,intel core i9,11,16,1024,0,15.6,139999
acer,windows 11,intel core i7,12,16,1024,0,15.6,156490
hp,windows 11,other,0,8,512,0,15.6,78990
avita,windows 11,intel core other,0,4,128,0,14.1,16490
asus,windows 11,other,0,16,1024,0,16.0,171990
alienware,windows 10,intel core i7,10,16,1024,0,15.6,250000
dell,windows 11,intel core i9,12,16,1024,0,15.6,151990
dell,windows 11,intel core i5,11,8,512,0,15.6,57990
dell,windows 10,other,0,8,512,0,14.96,71990
asus,windows 11,other,0,16,512,0,15.6,80990
asus,windows 11,other,0,16,512,0,14.0,46990
hp,windows 11,intel core i5,12,8,512,0,14.0,73990
dell,windows 11,other,0,16,512,0,15.6,88990
hp,windows 11,intel core i7,12,16,512,0,16.0,145499
msi,windows 11,intel core i7,12,32,1024,0,15.6,275990
asus,windows 10,intel core i3,11,8,512,0,15.6,39990
hp,windows 10,intel core i5,7,8,256,0,13.3,58800
asus,windows 10,intel core i7,11,16,1024,0,15.6,101490
apple,mac,apple m1 pro,0,16,1024,0,14.2,219894
hp,windows 11,other,0,8,512,0,15.6,69990
dell,windows 10,intel core i3,11,8,0,1,15.6,41990
asus,windows 10,other,0,8,512,0,14.0,57990
asus,windows 11,other,0,16,1024,0,15.6,162990
asus,windows 11,intel core i7,12,16,1024,0,15.6,89990
dell,windows 10,other,0,8,512,0,15.6,72790
acer,windows 10,intel core i5,11,8,256,1,15.6,60130
msi,windows 10,intel core i5,9,16,512,0,15.6,74990
asus,windows 11,other,0,16,1024,0,15.6,157990
asus,windows 11,other,0,32,1024,0,13.4,284990
asus,windows 11,intel core i7,11,16,512,0,15.6,59490
dell,windows 11,intel core i5,11,8,512,0,15.6,58490
asus,windows 11,other,0,16,1024,0,15.6,254990
lenovo,windows 11,other,0,16,1024,0,16.0,218290
avita,windows 10,intel core i3,10,4,256,0,14.0,29990
hp,windows 11,other,0,16,1024,0,13.3,98060
asus,windows 10,intel core i7,10,8,256,1,15.6,87390
hp,windows 11,intel core i7,12,16,1024,0,16.1,171990
alienware,windows 10,intel core i7,10,16,1024,0,15.6,214790
alienware,windows 10,intel core i7,10,16,512,0,15.6,199990
hp,windows 11,intel core i5,12,16,512,0,14.0,85490
hp,other,intel core i5,11,8,256,0,14.0,61990
apple,mac,apple m2 pro,0,16,1024,0,14.0,249900
mi,windows 10,intel core i7,10,8,512,0,14.0,59990
asus,windows 11,other,0,32,2048,0,16.0,204000
dell,windows 11,intel core i5,11,8,512,0,15.6,61890
